"id","kind","group","label","qty","unit","source","note"
"p1-001","count","Fixtures","Water closet","2","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. Two WC tags, counted once in the below-slab view."
"p1-002","count","Fixtures","Shower","2","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. Two SH tags. Repeated supply-view tags are not additional fixtures."
"p1-003","count","Fixtures","Lavatory / laundry sink","3","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. Three LAV tags, including the laundry sink. Anchors mark diagram tags."
"p1-004","count","Fixtures","Kitchen sink","1","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. One KS tag."
"p1-005","count","Fixtures","Washing machine connection","1","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. One WM connection, not a second count for the water-heater terminals."
"p1-006","count","Fixtures","Floor drain","3","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. Three FD tags in the drainage view."
"p1-007","count","Valves","Main shutoff valve","1","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. One explicitly drawn bow-tie valve. Fixture stop valves mentioned in notes are not separately counted."
"p1-008","count","Cleanouts","Above-floor cleanout","2","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. Two identified cleanout symbols: lower bathroom and kitchen."
"p1-009","count","Cleanouts","Divided sanitary cleanout chamber","1","ea","manual","Prepared reference takeoff, traced from P-1; not AI detection. One two-compartment chamber; lids are not counted as additional chambers. Storm chamber excluded."
"p1-010","length","Cold","CW main · Ø25 mm","6.975","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Begins at the building wall. External supply-to-tower run is excluded."
"p1-011","length","Cold","CW kitchen branch · Ø20 mm","6.518","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-012","length","Cold","CW upper bathroom · Ø20 mm","5.323","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-013","length","Cold","CW upper WC terminal","0.657","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Final terminal reduction requires verification."
"p1-014","length","Cold","CW upper lavatory terminal","0.657","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Final terminal reduction requires verification."
"p1-015","length","Cold","CW lower bathroom · Ø20 mm","3.587","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-016","length","Cold","CW lower lavatory terminal","0.657","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-017","length","Cold","CW lower WC terminal","0.657","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-018","length","Cold","CW laundry / heater feed · Ø25 mm","2.973","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Shown feed only. Unshown appliance splits and vertical drops excluded."
"p1-019","length","Hot","HW kitchen branch · Ø20 mm","8.051","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-020","length","Hot","HW upper bathroom · Ø20 mm","5.703","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-021","length","Hot","HW upper lavatory terminal","0.788","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-022","length","Hot","HW heater to distribution","4.266","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Starts at drawn heater outlet. Ø25/20 transition position is approximate."
"p1-023","length","Hot","HW lower shower terminal","1.218","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-024","length","Hot","HW lower lavatory terminal","1.078","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-025","length","Soil","Black water main · Ø100 mm","6.115","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Stops at the left-wall break. Off-building runs through diagram breaks are excluded."
"p1-026","length","Soil","Black water lower WC · Ø100 mm","5.589","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-027","length","Waste","Gray water main · Ø100 mm","4.74","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Stops at the left-wall break; cleanout/grease-trap connections outside are not measured."
"p1-028","length","Waste","Upper bathroom header · Ø75 mm","0.97","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-029","length","Waste","Upper shower branch · Ø75/50 mm","1.924","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Diameter transition and trap allowance excluded."
"p1-030","length","Waste","Upper lavatory branch","0.568","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. Drain connection to tag; trap shape is approximated as a centerline, not fitting length."
"p1-031","length","Waste","Upper floor-drain branch · Ø50 mm","0.529","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
"p1-032","length","Waste","Lower gray-water collector · Ø100 mm","4.002","m","manual","Prepared reference takeoff, traced from P-1; not AI detection. Visible 2D centerline only; inspect endpoints and size transitions. "
